,번호,개방서비스명,영업상태명,소재지전화,소재지전체주소,Latitude,Longitude,도로명전체주소,도로명우편번호,사업장명
15,16,병원,영업/정상,534230100,대구광역시 중구 수동 30번지,35.8699793,128.589359,대구광역시 중구 국채보상로 536 (수동),41934,으뜸병원
18,19,병원,영업/정상,"1577-0007, 715-7111",대구광역시 중구 동산동 360번지 5~9층,35.8664616,128.5861077,"대구광역시 중구 달구벌대로 2033, 5층~9층 (동산동, 대구메디센터)",41931,대구자생한방병원
19,20,병원,영업/정상,600-7114,대구광역시 중구 삼덕동2가 188번지 1호,35.8636079,128.6013052,"대구광역시 중구 달구벌대로 2175 (삼덕동2가, 경북대학교치과병원)",41940,경북대학교치과병원
22,23,병원,영업/정상,423-3500,대구광역시 중구 봉산동 185-8,35.8623406,128.5997422,대구광역시 중구 대봉로 267 (봉산동),41949,내이치과병원
24,25,병원,영업/정상,256-2145,대구광역시 중구 서문로2가66-5,35.8705479,128.5865668,대구광역시 중구 국채보상로 511 (서문로2가),41921,덕영치과병원
26,27,병원,영업/정상,606-0777,대구광역시 중구 삼덕2가45,35.8664929,128.5935208,대구광역시 중구 동덕로 141 (삼덕동2가),41940,분홍빛으로병원
27,28,병원,영업/정상,532121000,대구광역시 중구 삼덕2가 149-132,35.8664929,128.5935208,대구광역시 중구 공평로 12 (삼덕동2가),41940,미르치과병원
28,29,병원,영업/정상,762-8228,대구광역시 중구 남산동 700번지 11호,35.8606408,128.5917039,대구광역시 중구 중앙대로 303 (남산동),41968,라파엘병원
32,33,병원,영업/정상,053-423-3653,대구광역시 중구 봉산동 50 반월당 클래시아2차,35.8647905,128.5948655,"대구광역시 중구 명륜로23길 106, 반월당 클래시아2차 2층 (봉산동)",41958,삼육오엠씨병원
34,35,병원,영업/정상,1833-2929,대구광역시 중구 동성로3가 91-9,35.8670844,128.594645,"대구광역시 중구 동성로1길 15, 3층 (동성로3가)",41942,리봄한방병원 대구점
37,38,병원,영업/정상,053-957-7700,대구광역시 동구 봉무동 1553-2 연세메디컬센터,35.9209485,128.642897,"대구광역시 동구 팔공로 242-13, 연세메디컬센터 지상7~9층 (봉무동)",41027,이시아한방병원
46,47,병원,영업/정상,053-749-0000,대구광역시 동구 효목동 510번지 4호 동부허병원,35.8726473,128.6357572,"대구광역시 동구 화랑로 81, 동부허병원 (효목동)",41236,열경의료재단동부허병원
48,49,병원,영업/정상,053-663-1000,대구광역시 동구효목2동 640-1,35.8770003,128.6376022,대구광역시 동구 화랑로 169 (효목동),41241,대동병원
49,50,병원,영업/정상,053-959-1751,대구광역시 동구신암1동 803-2,35.8850178,128.6182009,대구광역시 동구 아양로 1 (신암동),41196,제일안과병원
50,51,병원,영업/정상,1644-8575,대구광역시 동구신천동 819-46,35.8683863,128.6151888,대구광역시 동구 국채보상로 769 (신천동),41267,의료법인 백천의료재단 바로본병원
52,53,병원,영업/정상,053-980-9000,대구광역시 동구 방촌동 919-5 강남병원,35.8829888,128.6633512,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",41145,강남종합병원
53,54,병원,영업/정상,053-940-3000,대구광역시 동구 신암동 498-7,35.8804044,128.6124769,"대구광역시 동구 신암로 120, 1층일부,2~7층 (신암동)",41200,든든한병원
56,57,병원,영업/정상,053-746-3232,대구광역시 동구 효목동 629번지 1호 1~6층,35.8802037,128.6428029,"대구광역시 동구 화랑로 157, 1~6층 (효목동)",41241,효경지요양병원
57,58,병원,영업/정상,053-961-9962,대구광역시 동구서호동 201-15,35.8665455,128.713133,대구광역시 동구 경안로 719 (서호동),41117,진병원
58,59,병원,영업/정상,053-957-7551,대구광역시 동구신암4동 332-10,35.8850306,128.6276072,대구광역시 동구 신암남로 159 (신암동),41218,동대구요양병원
59,60,병원,영업/정상,053-957-3111,대구광역시 동구 지저동 872번지 9호,35.8899733,128.641883,대구광역시 동구 해동로 101 (지저동),41051,한가람병원
60,61,병원,영업/정상,053-983-7700,대구광역시 동구 지묘동 337번지 1호,35.9395807,128.6405833,대구광역시 동구 파계로6길 16 (지묘동),41005,이시아요양병원
61,62,병원,영업/정상,053-721-7575,대구광역시 동구  1006번지 34호,35.8731689,128.5966292,"대구광역시 동구 해동로 119, 지하1,지상1~3층 (입석동)",41153,바른요양병원
62,63,병원,영업/정상,053-267-8000,대구광역시 동구 율암동 524번지 352호,35.8816177,128.7020691,대구광역시 동구 반야월북로2길 16-1 (율암동),41128,온빛병원
63,64,병원,영업/정상,053-961-5959,대구광역시 동구 신서동 713,35.8694415,128.7265659,"대구광역시 동구 안심로 389, 3,4,5,6층 (신서동)",41083,웰키즈아동병원
64,65,병원,영업/정상,053-242-2800,대구광역시 동구 신암동 576번지 20호,35.8833605,128.6231093,"대구광역시 동구 아양로 81, 호창메디타워 7~10층,13층 (신암동)",41198,파티마요양병원
71,72,병원,영업/정상,053-573-0119,대구광역시 서구 평리동 1335-18,35.8704117,128.5565955,"대구광역시 서구 국채보상로 232, 1~5층 (평리동)",41824,제이원병원
72,73,병원,영업/정상,053-560-7575,대구광역시 서구 중리동 1162번지,35.8594336,128.5406504,대구광역시 서구 평리로 157 (중리동),41845,대구의료원
75,76,병원,영업/정상,053-552-1119,대구광역시 서구 내당동 884번지 24호,35.8619764,128.570308,"대구광역시 서구 달구벌대로 1877 (내당동, 열린큰병원)",41870,열린큰병원
77,78,병원,영업/정상,053-558-5800,대구광역시 서구 평리동 1421번지 5호,35.8698034,128.5538909,대구광역시 서구 국채보상로 200 (평리동),41834,대명의료재단서대구병원
78,79,병원,영업/정상,053-565-9200,대구광역시 서구 내당동 242번지 1호,35.8631082,128.5568283,대구광역시 서구 서대구로 60 (내당동),41858,한신병원
79,80,병원,영업/정상,053-570-7600,대구광역시 서구 중리동 1164번지 11호,35.8600454,128.5380443,대구광역시 서구 와룡로 298-13 (중리동),41845,대구광역시서부노인전문병원
80,81,병원,영업/정상,053-720-0365,대구광역시 서구 비산동,35.8836662,128.5583647,대구광역시 서구 국채보상로 379 (비산동),41799,새동산병원
81,82,병원,영업/정상,053-558-1001,대구광역시 서구 평리동 573번지 2호,35.8790649,128.5502597,대구광역시 서구 북비산로 156 (평리동),41760,대구연세요양병원
82,83,병원,영업/정상,053-570-1004,대구광역시 서구 내당동 1889번지,35.8617046,128.5597704,"대구광역시 서구 달구벌대로 1889, 지하3층, 2층~5층 (내당동)",41870,웰니스1004요양병원
83,84,병원,영업/정상,053-211-9030,대구광역시 서구 평리동 1031번지 1호 지하1~6층,35.8753356,128.5557302,"대구광역시 서구 서대구로 194, 지하1~6층 (평리동)",41774,아주조은요양병원
84,85,병원,영업/정상,053-571-6000,대구광역시 서구 내당동 458번지 48호,35.8551599,128.548292,대구광역시 서구 달구벌대로 1677 (내당동),41855,제이병원
85,86,병원,영업/정상,053-552-9400,대구광역시 서구 내당동 65번지 11호,35.8608219,128.564278,"대구광역시 서구 달구벌대로 1807, 지하1,1층일부~7층 (내당동)",41863,참튼튼병원
86,87,병원,영업/정상,053-562-2500,대구광역시 서구 평리동 646번지 7호,35.8794127,128.5591796,대구광역시 서구 북비산로 239 (평리동),41738,열린요양병원
88,89,병원,영업/정상,053-551-9119,대구광역시 서구 평리동 670번지 5호,35.8787522,128.5599606,"대구광역시 서구 북비산로 250 (평리동, 제일효병원)",41771,제일효요양병원
89,90,병원,영업/정상,053-262-2626,대구광역시 서구 평리동 1094번지 18호 대원빌딩,35.8712244,128.5552536,"대구광역시 서구 국채보상로 223, 대원빌딩 5~10층 (평리동)",41777,경대재활요양병원
90,91,병원,영업/정상,053-285-1100,대구광역시 서구 내당동 10번지 14호,35.8655078,128.5651566,대구광역시 서구 평리로 380 (내당동),41867,장수효요양병원
91,92,병원,영업/정상,053-564-8808,대구광역시 서구 평리동 1335-18,35.8704117,128.5565955,"대구광역시 서구 국채보상로 232, 9~15층 (평리동)",41824,뉴경대요양병원
92,93,병원,영업/정상,053-353-8888,대구광역시 서구 비산동 1208-2,35.8888034,128.5666587,"대구광역시 서구 팔달로 152, 7~12층 (비산동)",41715,팔달요양병원
104,105,병원,영업/정상,053-215-0119,대구광역시 남구 대명동 175-5,35.8436462,128.5863792,대구광역시 남구 대명로 275(대명동),42418,뉴영대요양병원
105,106,병원,영업/정상,053-260-7777,대구광역시 남구 대명동 1583번지 7호,35.8344262,128.5563283,대구광역시 남구 월배로 468 (대명동),42498,한영한마음아동병원
107,108,병원,영업/정상,053-670-6000,대구광역시 남구 대명동 986번지 4호,35.8437965,128.5697215,대구광역시 남구 두류공원로 77 (대명동),42470,통합의료진흥원 전인병원
108,109,병원,영업/정상,053-213-2300,대구광역시 남구 대명동 1896-13,35.8537142,128.5834398,"대구광역시 남구 현충로 236, 2~6(4층 일부)층 (대명동)",42412,고은재활요양병원
110,111,병원,영업/정상,053-470-1000,대구광역시 남구 봉덕1동 606번지 6호,35.8466234,128.5979026,대구광역시 남구 봉덕로 71 (봉덕동),42438,힘센병원
114,115,병원,영업/정상,053-657-2111,대구광역시 남구 대명11동 1126번지 1호,35.8330111,128.5608802,대구광역시 남구 대명로 14 (대명동),42482,성심요양병원
116,117,병원,영업/정상,053-650-3000,대구광역시 남구 대명4동 3056번지 6호,35.846475,128.571303,대구광역시 남구 두류공원로17길 33 (대명동),42472,대구가톨릭대학교병원
117,118,병원,영업/정상,053-623-8001,대구광역시 남구 대명5동 317번지 1호,35.8424101,128.5805281,대구광역시 남구 현충로 170 (대명동),42415,영남대학교병원
119,120,병원,영업/정상,534760000,대구광역시 남구 대명동 1793-4,35.8537445,128.5901678,"대구광역시 남구 중앙대로 227, 주1(지하1~5)층 ,주2(지하1~3)층호 (대명동)",42410,명덕효요양병원
121,122,병원,영업/정상,533849119,대구광역시 북구 복현2동 536번지 2호,35.8984857,128.6228356,대구광역시 북구 공항로 15 (복현동),41524,뉴라이프병원
122,123,병원,영업/정상,053-200-2000,대구광역시 북구 학정동 474 칠곡경북대학교병원,35.9561473,128.5643578,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",41404,칠곡경북대학교병원
123,124,병원,영업/정상,715-7575,대구광역시 북구 학정동 533번지,35.9507357,128.5640756,대구광역시 북구 학정로 515 (학정동),41405,근로복지공단 대구병원
124,125,병원,영업/정상,053-354-5555,대구광역시 북구 침산3동 341번지 5호,35.8917001,128.58842,대구광역시 북구 침산로 167 (침산동),41559,한솔요양병원
127,128,병원,영업/정상,533266800,"대구광역시 북구 태전동 496-15 지하2층, 1층~7층",35.9153422,128.5479626,"대구광역시 북구 칠곡중앙대로 215, 지하2층, 1층~7층 (태전동)",41468,문요양병원
128,129,병원,영업/정상,053-256-3456,"대구광역시 북구 칠성동1가 151번지 3호 2,4층일부,5-7층",35.8750377,128.6057016,"대구광역시 북구 신암로 27, 2,4층일부,5-7층 (칠성동1가)",41583,칠성요양병원
130,131,병원,영업/정상,353-4900,"대구광역시 북구 침산동 430번지 15호 다빈치 타워 1,3,4,6~8",35.8883222,128.5862934,"대구광역시 북구 침산남로 94, 다빈치 타워 1,3,4,6~8층 (침산동)",41590,침산제이병원
131,132,병원,영업/정상,053-957-3650,대구광역시 북구 복현동 426-7,35.8950583,128.6176929,"대구광역시 북구 동북로 244, 9~11층 (복현동)",41562,365바로한방병원
132,133,병원,영업/정상,053-310-7114,대구광역시 북구 태전동 1233,35.9277217,128.546815,대구광역시 북구 칠곡중앙대로 357(태전동),41452,의료법인 대구의료재단 케이병원
133,134,병원,영업/정상,053-314-1100,"대구광역시 북구 태전동 553번지 지하1층, 1~4층",35.9172511,128.550429,"대구광역시 북구 학정로 103, 지하1, 1~4층 (태전동)",41469,새결요양병원
134,135,병원,영업/정상,053-957-0075,대구광역시 북구 산격동 1291-19,35.8966497,128.6138875,대구광역시 북구 대학로 143 (산격동),41535,대구서울병원
136,137,병원,영업/정상,053-957-8888,대구광역시 북구 산격동 793-62,35.8942136,128.594181,"대구광역시 북구 연암로 111, 지하1층,지상1~6층 (산격동)",41539,센트럴요양병원
139,140,병원,영업/정상,053-354-5000,대구광역시 북구 침산동 285-10 2~4층,35.8887891,128.591916,"대구광역시 북구 침산로 142, 2~4층 (침산동)",41560,수월한방병원
140,141,병원,영업/정상,053-259-8800,대구광역시 북구 대현동 321-39 6~10층,35.8773901,128.6068684,"대구광역시 북구 신암로 55, 6~10층 (대현동)",41576,미래병원
155,156,병원,영업/정상,053-951-9119,"대구광역시 북구 대현동 415번지 2호 지하1층일부,1일부,5층,6층일부,7~8층",35.8837717,128.6061725,"대구광역시 북구 대현로 46, 지하1층일부,1일부,5층,6층일부,7~8층 (대현동)",41571,의료법인 효민의료재단 큰사랑병원
156,157,병원,영업/정상,053-353-3000,대구광역시 북구 침산동 430-7,35.8887508,128.5860948,"대구광역시 북구 침산남로 92, 4층, 7~11층 (침산동)",41590,침산요양병원
158,159,병원,영업/정상,313-6006,대구광역시 북구 읍내동 952번지,35.9399822,128.5507534,대구광역시 북구 칠곡중앙대로 504-6 (읍내동),41434,강북요양병원
160,161,병원,영업/정상,053-951-9119,"대구광역시 북구 대현동 415번지 2호 지하2층,지하1층일부,1층일부,2~4층,6층일부,9층",35.8837717,128.6061725,"대구광역시 북구 대현로 46, 지하2층,지하1층일부,1층일부,2~4층,6층일부,9층 (대현동)",41571,의료법인 효민의료재단 대구큰사랑요양병원
162,163,병원,영업/정상,533410119,대구광역시 북구 노원동2가 280번지,35.8878643,128.5741577,대구광역시 북구 팔달로 217 (노원동2가),41558,의료법인 백산의료재단 K마디병원
166,167,병원,영업/정상,053-954-7771,대구광역시 북구 산격3동 1287번지 4호,35.8946318,128.6089031,대구광역시 북구 동북로 196 (산격동),41535,신세계병원
170,171,병원,영업/정상,053-422-3114,대구광역시 북구 칠성동2가 302번지 112호,35.8759672,128.6005231,대구광역시 북구 칠성남로30길 28 (칠성동2가),41581,한성병원
172,173,병원,영업/정상,053-359-3771,대구광역시 북구 노원동3가 762번지,35.8890559,128.5664279,대구광역시 북구 팔달로 147 (노원동3가),41557,M병원
173,174,병원,영업/정상,053-311-2001,대구광역시 북구 태전동 796번지 3호,35.9133871,128.548647,대구광역시 북구 칠곡중앙대로 194 (태전동),41484,대구병원
177,178,병원,영업/정상,053-757-2000,대구광역시 수성구 만촌1동 1356번지 17호,35.8717202,128.6465913,대구광역시 수성구 화랑로 58 (만촌동),42038,W여성병원
178,179,병원,영업/정상,053-741-1100,대구광역시 수성구 범어동 206번지 2호 범어동근생시설,35.8584532,128.6374671,"대구광역시 수성구 달구벌대로 2510, 범어동근생시설 (범어동)",42088,윌치과병원
179,180,병원,영업/정상,053-766-5555,대구광역시 수성구 중동 97-1,35.8458856,128.6132045,"대구광역시 수성구 수성로 228, 지하1~10층 (중동)",42151,김신요양병원
180,181,병원,영업/정상,053-257-1075,대구광역시 수성구 범어동 33-16,35.8621798,128.6261763,"대구광역시 수성구 동대구로 353, 10~12층 (범어동)",42013,꽃담한방병원
181,182,병원,영업/정상,053-243-8899,대구광역시 수성구 지산동 998-2,35.8361144,128.6245161,"대구광역시 수성구 동대구로 64, 6~12,13 일부층 (지산동)",42176,수성제니스요양병원
205,206,병원,영업/정상,053-766-7070,대구광역시 수성구 중동 105번지 1호 효성병원,35.8429994,128.6128651,"대구광역시 수성구 수성로 194, 효성병원(본관) (중동)",42155,의료법인경동의료재단효성병원
207,208,병원,영업/정상,053-794-9400,대구광역시 수성구 시지동 266번지 8호,35.8436022,128.69892,대구광역시 수성구 달구벌대로 3119 (시지동),42268,파티마여성병원
208,209,병원,영업/정상,053-716-7300,대구광역시 수성구 황금동,35.842378,128.6330999,"대구광역시 수성구 희망로 219 (황금동, 수성명가요양병원)",42144,수성명가요양병원
211,212,병원,영업/정상,053-710-9988,대구광역시 수성구 수성동4가 1155번지 1호,35.8662446,128.6144494,대구광역시 수성구 신천동로 482 (수성동4가),42002,참좋은요양병원
213,214,병원,영업/정상,053-254-0000,대구광역시 수성구 범어동 190-1,35.8583111,128.6268583,"대구광역시 수성구 동대구로 312, 8,9층 (범어동)",42085,라온치과병원
216,217,병원,영업/정상,053-784-2000,대구광역시 수성구 황금동 607번지 1호,35.8429381,128.6250677,"대구광역시 수성구 동대구로 148 (황금동, 수성요양병원)",42110,수성요양병원
218,219,병원,영업/정상,053-740-1000,대구광역시 수성구 수성동3가 327번지,35.8545142,128.6185648,"대구광역시 수성구 명덕로 443, 본관, 별관 (수성동3가)",42119,의료법인해정의료재단더좋은병원
219,220,병원,영업/정상,053-794-6000,대구광역시 수성구 신매동 538번지 19호,35.8392076,128.7144882,"대구광역시 수성구 욱수천로 115, 2층 (신매동)",42271,오성치과병원
220,221,병원,영업/정상,053-819-2004,대구광역시 수성구 욱수동 48번지 1호 대구광역시시지노인전문병원,35.8297225,128.7101289,"대구광역시 수성구 유니버시아드로 365, 대구광역시시지노인전문병원 (욱수동)",42280,대구광역시시지노인전문병원
221,222,병원,영업/정상,053-743-7777,대구광역시 수성구 만촌2동 1037번지 9호,35.8617201,128.6487667,대구광역시 수성구 무열로 5 (만촌동),42062,의료법인춘곡의료재단수성메트로병원
222,223,병원,영업/정상,053-790-1000,대구광역시 수성구 신매동 567번지 9호 (8),35.8407886,128.7052933,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",42274,(재)미리내천주성삼성직수도회천주성삼병원
224,225,병원,영업/정상,053-740-7703,대구광역시 수성구 범어동 595번지 27호,35.855173,128.6248008,대구광역시 수성구 동대구로 271 (범어동),42118,여성메디파크병원
225,226,병원,영업/정상,053-756-2119,"대구광역시 수성구 수성동3가 12번지 1호 4,5,6층",35.8593242,128.619394,"대구광역시 수성구 달구벌대로 2348, 지하1,지상4~6층 (수성동3가, 수협G 타워)",42115,수성한미병원
226,227,병원,영업/정상,053-791-3700,"대구광역시 수성구 신매동 567번지 4,5층",35.8407886,128.7052933,"대구광역시 수성구 달구벌대로 3188, 4,5층 (신매동, 아레나스포츠센터)",42274,시지열린아동병원
227,228,병원,영업/정상,053-745-2001,대구광역시 수성구 만촌1동 1356번지 21호,35.8717202,128.6465913,대구광역시 수성구 화랑로 48 (만촌동),42038,동인외과병원
229,230,병원,영업/정상,1670-7512,대구광역시 수성구 범어동 198-5,35.8586346,128.635199,"대구광역시 수성구 달구벌대로 2492, 1,2,4~9,11층 (범어동)",42087,새로난한방병원
231,232,병원,영업/정상,053-593-7587,대구광역시 달서구 장기동 226번지 1호,35.8481705,128.5190563,대구광역시 달서구 문화회관1안길 29 (장기동),42698,성서요양병원
233,234,병원,영업/정상,053-260-7000,대구광역시 달서구 두류동 807번지 3호,35.8522287,128.5724509,대구광역시 달서구 성당로 223 (두류동),42668,대구명성요양병원
235,236,병원,영업/정상,053-657-2000,대구광역시 달서구 두류동 495번지 1호,35.8551076,128.5510551,"대구광역시 달서구 달구벌대로 1690, 5,6,7,8,9층 (두류동)",42645,베스트병원
237,238,병원,영업/정상,535555520,대구광역시 달서구 죽전동 278-5 더열린병원,35.8510037,128.5384836,"대구광역시 달서구 달구벌대로 1571, 더열린병원 (죽전동)",42639,더열린병원
238,239,병원,영업/정상,053-634-0000,대구광역시 달서구 상인동 229번지,35.8181476,128.5363763,"대구광역시 달서구 월배로 206 (상인동, 2~6층)",42785,라온치과병원
239,240,병원,영업/정상,537205700,대구광역시 달서구 진천동 244번지 5호,35.8148001,128.5275716,"대구광역시 달서구 월배로 120, 6~10층 (진천동)",42801,대구행복요양병원
240,241,병원,영업/정상,053-632-0808,대구광역시 달서구 진천동 92번지 9호,35.8150784,128.5280091,"대구광역시 달서구 월배로 119, 3,6,7,8층 (진천동)",42784,월배요양병원
241,242,병원,영업/정상,536291900,대구광역시 달서구 송현동 1042번지 4호,35.8371054,128.5563588,대구광역시 달서구 구마로 262 (송현동),42737,서부라온치과병원
242,243,병원,영업/정상,053-563-1000,대구광역시 달서구 감삼동 146번지 27호,35.850255,128.5385505,대구광역시 달서구 달구벌대로 1576 (감삼동),42642,더나은병원
243,244,병원,영업/정상,053-526-5991,대구광역시 달서구 용산동 230-12 그랜드M 타워,35.8501037,128.5301186,"대구광역시 달서구 용산로 141, 그랜드M 타워 지하2,지상2,10,11,15층동 (용산동)",42637,신홍도요양병원
244,245,병원,영업/정상,053-559-7777,대구광역시 달서구 감삼동 61-2 5층~10층,35.854249,128.5466756,대구광역시 달서구 달구벌대로 1653(감삼동),42641,잘보는한방병원
246,247,병원,영업/정상,053-282-5000,대구광역시 달서구 상인동 759,35.8200622,128.540493,"대구광역시 달서구 월배로 247, 지하1층, 지상2,3,4,5층 (상인동)",42748,상인요양병원
248,249,병원,영업/정상,053-556-9900,대구광역시 달서구 감삼동 101-6 핸즈미세빌딩,35.8521774,128.5434025,"대구광역시 달서구 달구벌대로 1616, 핸즈미세빌딩 (감삼동)",42642,창한방병원
249,250,병원,영업/정상,053-643-5000,대구광역시 달서구 월성동 1852 월성동 이래타워 키즈,35.8249082,128.5279471,"대구광역시 달서구 조암로 17, 월성동 이래타워 키즈 2,3,4층 (월성동)",42758,수월한방병원
250,251,병원,영업/정상,536367777,대구광역시 달서구 상인동 190-1 광명한방병원,35.8185315,128.5348632,"대구광역시 달서구 월배로 195, 웰키즈아동병원 (상인동)",42781,광명한방병원
251,252,병원,영업/정상,053-710-3119,대구광역시 달서구 송현동 200,35.8330565,128.5544406,대구광역시 달서구 월배로 446(송현동),42818,해오름요양병원
280,281,병원,영업/정상,053-524-6601,대구광역시 달서구 본리동 402-2,35.837861,128.5365241,"대구광역시 달서구 와룡로 57, 1~3,6층 (본리동)",42694,에스병원
281,282,병원,영업/정상,053-269-7000,"대구광역시 달서구 감삼동 452-1(3,4,5층)",35.849514,128.5356997,"대구광역시 달서구 달구벌대로 1542, 3,4,5층 (감삼동)",42688,열린아동병원
282,283,병원,영업/정상,053-560-9016,대구광역시 달서구 감삼동139-2,35.8506043,128.5414515,대구광역시 달서구 감삼북길 141 (감삼동),42644,의료법인구의료재단 구병원
283,284,병원,영업/정상,053-634-1000,대구광역시 달서구 상인동 72-4,35.819018,128.5368565,대구광역시 달서구 월배로 215 (상인동),42781,마디탄탄병원
284,285,병원,영업/정상,053-626-7100,대구광역시 달서구 송현동 1931번지 14호,35.829604,128.5509513,대구광역시 달서구 월배로 384 (송현동),42820,송현효요양병원
285,286,병원,영업/정상,053-620-7339,대구광역시 달서구 두류동 148-1 두류빌딩,35.8573812,128.5583658,"대구광역시 달서구 달구벌대로 1762, 두류빌딩 1,4~6,8,9층 (두류동)",42659,의료법인상보의료재단 대구경상병원
286,287,병원,영업/정상,053-659-3100,대구광역시 달서구 송현동 202,35.8325265,128.553612,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",42818,삼일병원
289,290,병원,영업/정상,053-630-8000,대구광역시 달서구 송현1동 226번지 1호,35.826134,128.554798,대구광역시 달서구 월배로 404 (송현동),42818,참조은병원
291,292,병원,영업/정상,053-620-7339,대구광역시 달서구 두류동 148-1 두류빌딩,35.8573812,128.5583658,"대구광역시 달서구 달구벌대로 1762, 두류빌딩 7층 (두류동)",42659,의료법인상보의료재단 대구경상요양병원
292,293,병원,영업/정상,053-652-2220,대구광역시 달서구 두류동 807번지 5호,35.8522287,128.5724509,"대구광역시 달서구 성당로 215, 1~7층 (두류동)",42668,휴요양병원
293,294,병원,영업/정상,053-522-1275,대구광역시 달서구 두류동 1186-6,35.8606773,128.5741252,"대구광역시 달서구 명덕로 23, 2~7층 (두류동)",42663,위드병원
294,295,병원,영업/정상,053-654-7575,대구광역시 달서구 송현동 183번지 12호,35.8330105,128.5514894,"대구광역시 달서구 월배로83길 14, 지하1, 2~5층 (송현동)",42739,중앙요양병원
295,296,병원,영업/정상,534255919,대구광역시 달서구 진천동 785번지 20호,35.8117538,128.5180707,대구광역시 달서구 월배로 18 (진천동),42770,백두병원
296,297,병원,영업/정상,053-630-7000,대구광역시 달서구 도원동748,35.8028681,128.5521272,대구광역시 달서구 월곡로 60 (도원동),42835,한국보훈복지의료공단 대구보훈병원
297,298,병원,영업/정상,053-215-6200,대구광역시 달서구 송현동 56번지 2호 세강병원,35.8240947,128.5569894,"대구광역시 달서구 구마로 220, 세강병원 (송현동)",42736,의료법인 일민의료재단 세강병원
299,300,병원,영업/정상,053-641-9200,대구광역시 달서구 진천동511-10,35.8134678,128.525282,대구광역시 달서구 월배로 102 (진천동),42801,(의)서봉의료재단 보강병원
300,301,병원,영업/정상,053-651-3232,대구광역시 달서구 본동 820번지 1호 보광병원,35.8367621,128.5417246,"대구광역시 달서구 구마로 128, 보광병원 (본동)",42734,보광병원
301,302,병원,영업/정상,053-584-6655,대구광역시 달서구 신당동1272-9,35.8508905,128.4931828,대구광역시 달서구 달구벌대로 1152 (신당동),42702,성서병원
303,304,병원,영업/정상,053-654-3447,대구광역시 달서구 성당동 261번지 7호,35.8377513,128.5563304,"대구광역시 달서구 구마로 265, 5층 (성당동, 미래빌딩)",42680,곽치과병원
304,305,병원,영업/정상,053-527-0300,대구광역시 달서구 본동1144,35.8334636,128.539431,대구광역시 달서구 학산로 121 (본동),42733,의료법인열경의료재단 허병원
306,307,병원,영업/정상,053-609-5000,대구광역시 달서구 진천동 635-3 미즈맘병원,35.8133305,128.5213626,"대구광역시 달서구 월배로 62, 미즈맘병원 지하1,2-5,8층 (진천동)",42771,달서미즈맘병원
318,319,병원,영업/정상,053-716-6330,대구광역시 달성군 현풍읍 중리 497-2,35.6917023,128.452399,"대구광역시 달성군 현풍읍 테크노상업로 30, 3-7층일부, 9층",43017,우리허브병원
319,320,병원,영업/정상,053-656-8381,대구광역시 달성군 다사읍 매곡리 1551-1,35.8573168,128.4668949,"대구광역시 달성군 다사읍 달구벌대로 893, 8층~12층",42913,이즈병원
321,322,병원,영업/정상,053-615-4871,대구광역시 달성군  남리 717번지 2호 외 1필지(남리 717),35.7204044,128.4524293,대구광역시 달성군 논공읍 논공로 210 (외 1필지(남리 717)),42985,성요셉요양병원
323,324,병원,영업/정상,537621400,대구광역시 달성군  삼산리 790번지 4호,35.7364267,128.6588983,대구광역시 달성군 가창면 가창로57길 50,42940,의료법인가창삼성의료재단 가창삼성요양병원
325,326,병원,영업/정상,053-560-1100,대구광역시 달성군 다사읍 매곡리 1551번지 2호,35.8575378,128.4666097,대구광역시 달성군 다사읍 달구벌대로 895,42913,한솔병원
326,327,병원,영업/정상,053-626-9988,대구광역시 달성군 논공읍 금포리 1155번지,35.7798126,128.4186711,대구광역시 달성군 논공읍 달성군청로1길 8,42974,달성요양병원
328,329,병원,영업/정상,053-572-1100,대구광역시 달성군 다사읍 매곡리 1551번지 1호,35.8575378,128.4666097,"대구광역시 달성군 다사읍 달구벌대로 893, 3-7층",42913,이로운요양병원
329,330,병원,영업/정상,053-295-7000,대구광역시 달성군 가창면 옥분리 471번지,35.7492739,128.6495054,대구광역시 달성군 가창면 가창로85길 24-6,42939,가창파티마요양병원
331,332,병원,영업/정상,053-582-7777,대구광역시 달성군 다사읍 부곡리 693번지,35.853202,128.4407917,"대구광역시 달성군 다사읍 달구벌대로109길 12-6, 1~4층",42906,문양요양병원
332,333,병원,영업/정상,053-210-8000,대구광역시 달성군 유가읍 용리 887,35.6931785,128.4687716,"대구광역시 달성군 유가읍 테크노순환로12길 4, 1층,4~6층(1층 사우나홀,113~117호,119~120호,405~407호,5층,601~607호",42994,행복한 병원
333,334,병원,영업/정상,053-716-1119,대구광역시 달성군 현풍읍 중리 489번지,35.6926089,128.4532876,"대구광역시 달성군 현풍읍 테크노상업로 46, 테크노메디칼센터 3~4층",43017,지혜로운아동병원
334,335,병원,영업/정상,053-615-0700,대구광역시 달성군 현풍읍 중리 503,35.6913426,128.4539311,"대구광역시 달성군 현풍읍 테크노공원로 21, 2~6층",43017,현풍요양병원